NANCY STERN         2989821230009890002990004011998
ROBERT STERN        3092322100009889009283003111994
CHRISTOPHER HAMMEL  2843713837006737307370011122000
GEORGE WASHINGTON   5338323939000392003920010041990
TOM JEFFERSON       6838383220009383003920011031992
LORI STERN          2933916360012929002929003141999
MELANIE STERN       3238410293833838202383804212001
TEDDY SMITH         2029390223932833938283905272000
JOHN DOE            5033822938749303833039306111993
BILL FIXER          6838382002830393902938307211999
